Transaction Month and Year,Make,Model,Model Year,Vehicle Color,Vehicle Type,Vehicle Primary Use,Fuel Type Primary,Fuel Type Secondary,Gross Vehicle Weight Rating Class,Gross Vehicle Weight Rating Range (lbs),Electrification Level,Plate Background,Plate Configuration,Owner Type,County,State,Postal Code,Transaction Type,Transaction Channel,2020 GEOID,Transaction Count
2024-04-01,TOYOTA,RAV4,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98607,Registration Renewal,In-person,53011040609,1
2023-12-01,HONDA,CR-V,2021,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98001,Registration Renewal,Online,53033029805,1
2023-11-01,TOYOTA,COROLLA,2012,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98662,Registration Renewal,In-person,53011040806,1
2023-09-01,GMC,SIERRA,2000,RED,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Mason,WA,98592,Registration Renewal,In-person,53045960500,1
2024-05-01,NISSAN,FRONTIER,2016,GRAY,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99206,Registration Renewal,Online,53063012402,1
2023-12-01,LEXUS,ES,2013,,PASSENGER CAR,Passenger Vehicle,Hybrid,Electric,1,"6,000",Strong HEV (Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,Clark,WA,98665,Registration Renewal,Online,53011040809,1
2023-09-01,FIAT,500L,2014,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98053,Registration Renewal,In-person,53033032328,1
2023-11-01,HYUNDAI,ELANTRA,2002,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Okanogan,WA,99124,Registration Renewal,In-person,53047940100,1
2023-12-01,TOYOTA,CAMRY,2001,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98295,Registration Renewal,Online,53073010202,1
2024-04-01,FORD,FUSION,2018,MAROON / BURGUNDY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98004,Original Registration,In-person,53033023805,1
2023-09-01,NISSAN,MURANO,2010,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pend Oreille,WA,99119,Registration Renewal,In-person,53051970200,1
2024-07-01,HONDA,CIVIC,2006,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98373,Registration Renewal,Online,53053071307,1
2024-03-01,CHEVROLET,LUMINA,1996,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98908,Registration Renewal,Online,53077002801,1
2024-01-01,HONDA,CR-V,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98294,Registration Renewal,In-person,53061053803,1
2024-06-01,KIA,SORENTO,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98001,Registration Renewal,Online,53033029806,1
2024-07-01,YAMAHA,XT250,2010,BLACK,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98107,Registration Renewal,Online,53033003202,1
2023-10-01,SMART,FORTWO,2009,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98642,Registration Renewal,In-person,53011040403,1
2024-03-01,FORD,FOCUS,2008,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Skagit,WA,98273,Registration at time of Transfer,In-person,53057952200,1
2023-10-01,TOYOTA,COROLLA,2022,,PASSENGER CAR,Passenger Vehicle,Hybrid,Electric,1,"6,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,Benton,WA,99352,Registration Renewal,In-person,53005010817,1
2024-06-01,JEEP,GLADIATOR,2023,,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98059,Registration Renewal,In-person,53033025005,1
2024-08-01,CHEVROLET,COBALT,2007,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98012,Registration Renewal,In-person,53061051921,1
2024-07-01,BMW,X5,2025,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Gasoline,2E,"6,001 - 7,000",PHEV (Plug-in Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,King,WA,98112,Original Registration,In-person,53033006200,1
2023-11-01,KIA,STINGER,2022,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98264,Registration Renewal,In-person,53073010302,1
2023-10-01,BMW,325CI,2004,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98660,Registration Renewal,Online,53011042100,1
2024-03-01,GEO,PRIZM,1994,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98204,Registration at time of Transfer,In-person,53061041905,1
2024-07-01,JEEP,WRANGLER,2018,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99006,Registration Renewal,Mail-in,53063010303,1
2023-12-01,HONDA,ACCORD,2014,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,99349,Registration Renewal,In-person,53025011406,1
2024-08-01,TOYOTA,RAV4,2021,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Electric,1C,"4,001 - 5,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,King,WA,98118,Registration Renewal,Online,53033010302,1
2024-02-01,BUICK,ENCORE,2014,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Ethanol (E85),1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98271,Registration Renewal,Online,53061052807,1
